,brand,name,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,발림성_아주 만족해요,발림성_보통이에요,발림성_다소 아쉬워요,세정력_아주 만족해요,세정력_보통이에요,세정력_다소 아쉬워요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요,지성,건성,복합성,민감성,약건성,트러블성,중성,쿨톤,웜톤,봄웜톤,여름쿨톤,가을웜톤,겨울쿨톤,잡티,미백,주름,각질,트러블,블랙헤드,피지과다,모공,탄력,홍조,아토피,다크서클
0,아비브,아비브 부활초 크림 뉴트리션 튜브,52,44,4,75,21,4,0,0,0,0,0,0,80,20,1,10,39,82,50,4,7,3,36,70,21,8,15,8,24,30,8,50,5,25,2,84,8,4,3,11
1,한율,한율 어린쑥 수분진정 크림,28,57,15,33,67,0,0,0,0,0,0,0,70,30,1,11,22,39,28,0,6,1,25,33,3,15,9,2,11,16,5,20,8,14,0,47,9,2,0,9
2,성분에디터,성분에디터 그린토마토 포어 리프팅 앰플 플러스,25,62,13,36,40,24,0,0,0,0,0,0,67,31,2,39,45,85,37,5,12,2,55,60,32,24,14,12,24,39,10,55,17,33,0,144,6,2,3,21
3,달바,달바 화이트 트러플 퍼스트 스프레이 세럼,50,46,4,75,21,4,0,0,0,0,0,0,70,28,2,26,96,127,73,11,5,1,96,108,23,21,14,13,52,61,21,84,19,26,0,147,18,4,4,39
4,에스네이처,에스네이처 아쿠아 스쿠알란 수분크림,34,57,9,79,21,1,0,0,0,0,0,0,78,22,1,25,70,162,87,1,20,1,69,118,34,36,35,14,38,70,25,56,25,42,7,178,32,5,5,27
5,차앤박,차앤박 프로폴리스 액티브 앰플,48,48,4,76,21,3,0,0,0,0,0,0,73,25,2,4,29,28,23,0,0,0,24,25,12,3,6,1,6,21,10,26,7,6,0,28,3,0,0,10
6,리얼베리어,리얼베리어 익스트림 크림,50,44,6,81,19,1,0,0,0,0,0,0,77,23,1,25,70,72,64,1,12,2,46,78,20,17,18,5,30,38,20,54,12,20,3,88,6,6,4,15
7,구달,구달 청귤 비타C 잡티케어 세럼,27,62,11,24,27,50,0,0,0,0,0,0,55,41,4,35,75,124,69,3,10,4,69,108,17,34,32,7,51,61,19,64,21,38,3,128,20,4,3,51
8,피지오겔,피지오겔 DMT 페이셜 크림,55,41,4,82,18,1,0,0,0,0,0,0,79,21,1,47,262,297,167,1,11,2,224,287,27,26,34,5,144,116,85,144,57,71,8,281,58,18,7,28
9,라네즈,라네즈 크림스킨,57,39,4,85,15,0,0,0,0,0,0,0,81,19,1,16,32,67,33,2,13,2,31,52,12,24,8,2,18,30,7,38,6,15,0,69,6,8,1,24
10,에스트라,에스트라 리제덤365 모공탄력 캡슐세럼,32,58,10,46,29,25,0,0,0,0,0,0,67,31,2,6,13,28,16,0,1,2,14,21,8,7,8,0,9,17,4,9,1,5,0,27,4,1,0,15
11,아이소이,아이소이 잡티세럼,22,64,14,25,36,39,0,0,0,0,0,0,66,34,1,16,48,54,36,1,5,0,32,66,9,11,4,10,24,29,5,43,15,18,0,70,4,0,1,15
12,토리든,토리든 다이브인 저분자 히알루론산 세럼,25,63,12,64,36,0,0,0,0,0,0,0,75,25,0,5,11,39,26,0,4,3,21,27,5,7,0,6,6,10,1,25,7,9,1,38,3,0,0,10
13,닥터지,닥터지 레드 블레미쉬 클리어 수딩 크림,26,58,16,46,54,1,0,0,0,0,0,0,77,23,1,11,38,70,52,0,6,3,37,58,20,12,10,1,22,40,5,28,15,11,1,88,5,1,4,10
14,메디필,메디필 히알루론산 레이어 물톡스 앰플 더블,40,52,8,76,20,4,0,0,0,0,0,0,88,12,1,9,32,43,16,0,7,0,25,33,5,10,6,5,20,24,13,23,5,10,1,50,0,0,4,20
15,바이오힐보,바이오힐보 프로바이오덤 리프팅 크림,50,50,1,50,24,27,0,0,0,0,0,0,67,33,0,23,97,149,81,3,4,1,111,116,11,26,12,5,59,55,32,91,9,37,3,151,15,7,7,20
16,브이앤에이뷰티,V A 미백광채앰플,28,66,6,21,14,65,0,0,0,0,0,0,66,30,4,12,26,42,21,4,2,0,14,37,12,15,12,3,16,17,3,25,7,14,0,52,2,2,0,26
17,웰라쥬,웰라쥬 리얼 히알루로닉 블루 100 앰플,36,52,12,75,25,1,0,0,0,0,0,0,81,19,1,22,42,92,47,6,12,0,61,50,9,29,14,9,31,42,12,46,16,21,1,94,10,4,3,18
18,닥터지,닥터지 블랙스네일 크림,49,46,5,69,10,22,0,0,0,0,0,0,75,25,1,9,10,17,4,0,0,2,13,14,4,7,1,0,9,8,4,13,3,4,3,16,3,1,0,4
19,에스트라,에스트라 에이시카365 흔적진정세럼,24,66,10,23,75,2,0,0,0,0,0,0,71,27,2,46,82,151,127,4,23,4,90,131,29,50,28,6,36,66,14,117,32,58,1,192,10,10,3,26
20,파티온,파티온 노스카나인 트러블 흔적 앰플,23,54,23,22,74,4,0,0,0,0,0,0,94,6,1,4,2,6,2,1,3,0,3,8,0,1,2,0,1,3,0,7,2,4,0,9,0,0,0,0
21,아누아,아누아 어성초 77 수딩 토너,19,60,21,21,79,1,0,0,0,0,0,0,76,24,1,24,55,101,61,1,7,0,58,87,9,12,12,8,41,31,10,44,20,23,2,117,9,5,1,13
22,라로슈포제,라로슈포제 NEW 시카플라스트 밤B,57,39,4,51,47,2,0,0,0,0,0,0,78,20,2,34,69,175,132,11,22,1,88,111,38,22,48,19,45,81,34,89,42,44,3,175,12,2,3,35
23,넘버즈인,넘버즈인 5번 글루타치온C 흔적 앰플,41,52,7,30,17,53,0,0,0,0,0,0,65,32,3,14,39,58,26,0,11,0,26,37,13,18,20,9,26,38,5,43,4,10,0,62,6,1,0,20
24,달바,달바 화이트 트러플 더블 세럼 앤 크림,45,51,4,78,16,6,0,0,0,0,0,0,72,28,1,1,16,20,12,1,1,0,10,15,9,4,5,0,5,6,3,10,9,9,0,18,1,0,0,1
25,넘버즈인,넘버즈인 3번 보들보들 결 세럼,31,60,9,52,32,16,0,0,0,0,0,0,55,37,8,32,96,186,115,4,27,2,95,138,44,39,27,14,54,86,26,86,35,33,4,208,9,9,5,49
