,brand,name,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,발림성_아주 만족해요,발림성_보통이에요,발림성_다소 아쉬워요,세정력_아주 만족해요,세정력_보통이에요,세정력_다소 아쉬워요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요,지성,건성,복합성,민감성,약건성,트러블성,중성,쿨톤,웜톤,봄웜톤,여름쿨톤,가을웜톤,겨울쿨톤,잡티,미백,주름,각질,트러블,블랙헤드,피지과다,모공,탄력,홍조,아토피,다크서클
26,코스알엑스,코스알엑스 더 레티놀 0 1 크림,9,68,24,9,29,62,0,0,0,0,0,0,50,41,9,3,5,18,6,1,1,0,1,7,2,11,7,5,12,4,0,7,1,2,0,18,2,0,0,7
27,라네즈,라네즈 워터뱅크 크림 중건성용,42,55,3,72,28,0,0,0,0,0,0,0,64,33,3,5,10,31,5,0,8,0,19,17,3,7,6,1,15,20,4,12,7,7,0,28,4,0,4,3
28,아이디얼포맨,아이디얼 포 맨 퍼펙트 올인원 탄력,24,67,9,65,33,2,0,0,0,0,0,0,59,41,1,9,21,37,22,1,4,0,25,33,9,9,8,0,24,27,9,19,11,6,0,40,0,1,2,10
29,피지오겔,피지오겔 DMT포맨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,17,12,0,0,0,18,12,11,0,1,0,13,7,3,7,3,0,0,21,7,0,1,6
30,아비브,아비브 부활초 비피다 세럼 퍼밍 드롭,48,50,2,70,22,8,0,0,0,0,0,0,76,24,1,2,1,9,4,0,0,0,3,3,0,4,3,3,2,3,1,8,1,1,0,12,1,0,0,1
31,에스트라,에스트라 아토베리어365 크림,56,40,4,80,20,0,0,0,0,0,0,0,81,19,1,6,82,67,55,0,5,5,50,91,5,11,9,2,28,28,11,46,24,25,0,78,6,6,4,8
32,라운드랩,라운드랩 1025 독도 토너 대용량 리필기획,28,58,14,52,48,1,0,0,0,0,0,0,77,23,0,70,157,230,146,2,5,2,151,259,17,18,17,8,74,92,32,146,47,57,3,249,23,7,11,19
33,피지오겔,피지오겔 사이언수티컬즈 데일리뮨 앰플 세럼,35,63,2,44,30,26,0,0,0,0,0,0,60,35,5,3,23,32,18,0,1,0,8,21,13,17,8,0,19,19,0,7,1,13,2,43,3,1,0,4
34,아누아,아누아 어성초 77토너,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,8,0,0,0,10,13,1,1,0,0,2,8,1,12,1,3,1,24,0,0,0,1
35,라로슈포제,라로슈포제 시카플라스트 멀티 리페어 크림,40,56,4,55,40,5,0,0,0,0,0,0,74,23,3,13,47,62,54,1,5,0,44,59,14,12,3,7,16,28,7,49,7,15,0,74,15,1,3,12
36,AHC,AHC 텐 레볼루션 리얼 아이크림 포 페이스,53,44,3,32,11,57,0,0,0,0,0,0,72,28,1,1,0,6,2,0,0,0,5,2,0,0,0,1,1,4,0,1,0,1,0,4,0,0,0,3
37,디마르3,디마르3 시그니처 에스투드 프로텍터 대용량 모공교정 앰플,27,67,7,50,27,23,0,0,0,0,0,0,76,22,2,3,4,18,4,1,2,0,9,9,3,2,5,0,12,4,3,7,0,4,0,18,2,0,0,1
38,바이오더마,바이오더마 하이드라비오 세럼 더블기획,37,52,11,74,26,1,0,0,0,0,0,0,84,16,1,13,39,74,40,0,4,0,32,73,5,7,6,2,29,21,6,39,16,15,3,69,3,3,4,4
39,라로슈포제,라로슈포제 NEW 시카플라스트 밤B,33,63,4,39,61,0,0,0,0,0,0,0,66,34,1,36,84,224,154,12,23,2,104,149,47,25,54,17,58,91,36,108,54,52,3,221,20,6,3,42
40,메이크프렘,메이크프렘 엔드포어 베지티놀 타이트닝 세럼,14,66,20,27,46,27,0,0,0,0,0,0,73,27,1,16,30,40,25,0,10,0,20,48,12,7,11,1,18,25,2,29,3,9,4,37,10,1,2,22
41,바이오힐보,바이오힐보 프로바이오덤 타이트닝 콜라겐 세럼,26,67,8,41,31,28,0,0,0,0,0,0,67,33,0,22,43,77,35,2,6,0,47,53,12,19,5,11,31,26,11,51,5,24,0,96,4,0,1,18
42,아이소이,아이소이 속보습  100시간 장수진 수분크림,37,54,9,65,35,1,0,0,0,0,0,0,74,24,2,12,21,60,29,1,3,0,22,42,10,18,11,2,18,26,7,34,10,9,1,59,5,2,2,10
43,토리든,토리든 다이브인 저분자 히알루론산 토너,31,55,14,58,42,0,0,0,0,0,0,0,74,26,1,14,33,103,52,0,8,4,54,63,21,10,13,6,18,28,13,38,27,23,1,90,7,6,3,14
44,코스알엑스,코스알엑스 더 비타민C23 세럼 더블기획,33,51,16,18,17,65,0,0,0,0,0,0,25,47,29,52,91,168,89,8,22,2,80,148,37,45,40,9,65,74,21,98,29,62,5,175,21,6,3,36
45,라운드랩,라운드랩 자작나무 수분 크림,26,55,19,65,35,1,0,0,0,0,0,0,76,24,1,26,35,55,37,1,4,0,37,52,24,6,4,0,17,22,8,51,4,24,1,71,3,0,1,11
46,유세린,유세린 하이알루론 나이트 크림,55,41,4,66,14,21,0,0,0,0,0,0,69,31,1,14,65,79,41,0,14,0,52,98,7,12,2,1,35,28,20,53,7,21,1,92,15,4,0,3
47,차앤박,차앤박 프로폴리스 에너지 앰플 미스트,55,36,9,80,20,1,0,0,0,0,0,0,77,23,1,5,10,24,9,1,0,0,10,23,2,2,2,0,11,9,6,12,2,3,0,22,1,0,2,2
48,라운드랩,라운드랩 소나무 진정 시카 앰플,20,60,20,17,83,1,0,0,0,0,0,0,76,24,1,5,30,47,34,1,5,1,21,49,7,9,9,2,7,13,3,23,13,17,0,57,2,2,0,19
49,에스트라,에스트라 리제덤365 밀도탄력 캡슐크림,41,55,4,48,21,31,0,0,0,0,0,0,71,27,3,0,3,9,7,0,1,0,4,5,2,2,2,2,1,4,0,6,1,1,0,10,1,0,0,6
50,바이오힐보,바이오힐보 판테셀 리페어시카 크림,27,59,14,42,58,1,0,0,0,0,0,0,73,25,2,11,13,45,28,0,6,0,18,30,8,9,14,7,11,20,4,20,4,8,0,37,4,1,1,10
51,앰플엔,앰플엔 세라마이드샷 앰플,51,44,5,76,20,4,0,0,0,0,0,0,87,13,1,17,89,110,55,0,14,2,67,86,14,20,18,11,55,55,13,55,19,24,3,138,5,1,6,44
52,리쥬란,리쥬란 힐러 턴오버 앰플 듀얼 이펙트,51,45,4,50,20,30,0,0,0,0,0,0,67,31,2,17,30,109,44,4,4,1,42,97,14,19,10,5,31,84,8,26,4,17,2,136,5,3,1,13
53,코스알엑스,코스알엑스 풀핏 프로폴리스 라이트 앰플,53,44,3,81,19,0,0,0,0,0,0,0,79,21,0,28,68,99,52,4,5,0,69,97,7,18,6,8,32,63,16,55,10,25,3,119,11,9,4,14
54,유세린,유세린 하이알루론 아이 크림,41,55,5,33,13,54,0,0,0,0,0,0,69,31,2,3,18,36,19,0,1,0,22,29,1,3,2,2,12,8,6,17,6,3,0,37,4,0,0,3
55,바이오더마,바이오더마 하이드라비오 토너,41,51,8,70,30,1,0,0,0,0,0,0,74,26,1,16,64,118,50,2,9,0,72,92,9,9,12,13,35,58,13,64,19,28,4,124,9,6,9,15
56,브링그린,브링그린 징크테카1 2 흔적세럼,15,45,40,6,92,2,0,0,0,0,0,0,62,32,6,8,9,27,18,10,2,0,22,15,7,6,5,0,9,9,1,24,8,2,0,33,1,0,0,5
57,듀이트리,듀이트리AC 컨트롤 딥 그린 카밍 에센스,21,59,20,24,74,3,0,0,0,0,0,0,81,19,2,1,9,11,2,0,2,0,4,13,1,1,1,1,5,4,1,11,1,3,0,10,0,0,0,8
58,디오디너리,디오디너리 나이아신아마이드 10 ,15,56,29,16,38,46,0,0,0,0,0,0,33,47,20,15,7,39,28,0,7,1,24,23,12,7,5,7,12,18,5,18,8,4,2,47,0,0,0,7
59,파티온,파티온 노스카나인 트러블 흔적 리페어 크림,28,54,18,41,56,3,0,0,0,0,0,0,90,8,2,2,1,1,1,0,1,0,1,2,0,0,1,0,3,1,0,1,1,0,0,1,0,0,0,0
60,이즈앤트리,이즈앤트리 어니언 뉴페어 겔크림,17,61,22,27,62,11,0,0,0,0,0,0,72,28,2,8,15,32,23,0,6,0,12,40,2,2,4,7,10,14,3,24,3,7,0,40,1,0,0,12
61,토리든,토리든 다이브인 저분자 히알루론산 수딩 크림,29,50,21,71,29,0,0,0,0,0,0,0,79,21,0,3,9,11,12,0,3,0,4,11,2,4,0,4,3,5,0,8,2,2,0,19,0,0,0,3
62,비욘드,비욘드 엔젤아쿠아 수분 진정 크림,29,57,14,55,45,1,0,0,0,0,0,0,74,26,1,11,22,71,51,0,4,0,44,48,5,7,9,6,22,27,4,29,4,14,0,65,3,7,0,17
63,에스트라,에스트라 아토베리어365 하이드로 수딩크림,27,54,19,65,35,0,0,0,0,0,0,0,83,17,0,19,35,63,58,1,7,2,47,55,10,11,10,4,14,36,12,28,14,12,0,75,11,3,3,10
64,피지오겔,피지오겔 DMT 데일리보습 로션,51,45,4,82,18,0,0,0,0,0,0,0,83,17,1,11,40,83,59,0,0,0,42,63,2,12,3,1,29,29,13,35,23,16,0,60,6,3,0,7
65,토리든,토리든 솔리드인 세라마이드 크림,54,44,2,73,25,2,0,0,0,0,0,0,78,22,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
66,아이오페,아이오페 레티놀 슈퍼 바운스 세럼,28,61,11,25,15,60,0,0,0,0,0,0,64,33,3,23,24,50,32,2,5,0,28,38,12,19,11,4,22,23,9,27,8,13,0,61,4,3,5,11
67,피지오겔,피지오겔 레드수딩 AI 크림,38,54,8,55,43,2,0,0,0,0,0,0,74,26,1,26,112,156,81,2,6,0,86,159,8,8,13,10,70,49,26,89,21,36,3,152,12,10,3,21
68,파티온,파티온 노스카나인 트러블 세럼 단독,20,60,20,21,79,2,0,0,0,0,0,0,83,17,1,27,91,163,130,8,11,1,86,122,12,38,41,12,54,65,16,91,35,48,1,171,10,1,2,38
69,빌리프,빌리프 더 트루 크림 모이스춰라이징 밤,48,45,7,89,11,0,0,0,0,0,0,0,82,18,1,0,12,20,15,0,0,0,10,10,4,3,0,1,5,3,3,11,3,5,0,9,2,1,1,4
70,라운드랩,라운드랩 1025 독도 로션,26,63,11,64,36,1,0,0,0,0,0,0,76,22,2,17,43,41,27,0,4,0,25,54,7,13,2,4,16,14,10,34,22,11,1,52,7,3,2,12
71,마몽드,마몽드 포어 슈링커 바쿠치올 크림,19,69,12,33,22,45,0,0,0,0,0,0,72,28,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
72,메디큐브,메디큐브 제로 모공 원데이 세럼,30,51,19,36,37,27,0,0,0,0,0,0,53,39,8,6,12,25,21,3,1,2,18,19,3,9,6,3,5,11,4,13,0,2,2,40,10,0,0,4
73,셀리맥스,셀리맥스 더 리얼 노니 에너지 앰플,36,56,8,45,55,1,0,0,0,0,0,0,74,26,1,14,48,100,59,1,7,5,53,81,9,15,4,8,30,34,7,62,13,16,2,101,5,4,2,12
74,넘버즈인,넘버즈인 1번 진정 맑게담은 청초토너,14,65,21,10,90,1,0,0,0,0,0,0,66,34,1,18,13,66,43,9,10,2,38,44,11,12,12,10,24,20,5,33,13,13,1,73,3,1,4,17
75,CKD,CKD 레티노콜라겐 저분자 300 괄사 리프팅 세럼,45,53,2,27,13,60,0,0,0,0,0,0,66,32,2,3,5,11,11,1,2,0,9,8,4,3,0,4,4,3,5,10,0,5,1,16,2,0,0,1
76,에스네이처,에스네이처 아쿠아 스쿠알란 세럼,31,56,13,71,27,2,0,0,0,0,0,0,80,20,1,11,6,33,24,0,1,0,8,28,6,7,6,2,4,6,4,15,6,14,2,34,3,6,0,5
77,이지듀,이지듀 DW EGF 멜라토닝 원데이 앰플,53,41,6,29,8,63,0,0,0,0,0,0,70,28,2,0,3,4,2,1,2,0,3,4,2,1,1,0,3,4,0,4,0,0,0,3,1,0,0,4
78,브링그린,브링그린 티트리시카수딩토너,17,59,24,18,82,1,0,0,0,0,0,0,64,33,3,47,82,156,88,4,21,1,103,146,22,11,18,10,40,52,16,112,42,44,3,194,12,7,3,39
79,차앤박,차앤박 프로폴리스 에센셜 아이크림,55,41,4,45,14,41,0,0,0,0,0,0,73,27,1,1,16,21,16,0,0,0,11,27,4,0,1,1,5,7,7,15,1,2,0,21,3,0,4,5
80,파티온,파티온 노스카나인 트러블 크림,20,55,25,23,75,2,0,0,0,0,0,0,84,16,1,13,32,45,46,5,8,0,28,55,10,11,3,4,18,18,1,28,21,23,0,63,7,0,0,11
81,더랩바이블랑두,더랩바이블랑두 저분자 히알루론산 딥 토너 리필 캔,42,49,9,77,23,1,0,0,0,0,0,0,90,10,0,7,4,4,6,0,2,0,6,9,0,3,1,1,3,1,2,6,3,4,0,10,1,1,0,1
82,메이크프렘,메이크프렘 인테카 수딩크림,18,63,19,24,76,1,0,0,0,0,0,0,76,24,1,11,17,38,15,0,2,0,20,23,7,6,12,3,10,8,4,24,8,14,3,39,4,7,0,4
83,바이오더마,바이오더마 하이드라비오 에센스로션 더블기획,41,52,8,73,24,3,0,0,0,0,0,0,80,20,1,21,89,99,49,3,5,0,68,100,4,10,11,12,45,41,23,68,15,16,6,100,11,3,7,7
84,브이티,VT 리들샷 300 에센스,15,66,19,20,43,38,0,0,0,0,0,0,10,23,67,1,2,12,6,0,2,0,2,8,3,4,1,1,2,1,0,6,6,0,3,10,0,1,1,0
85,AHC,AHC 텐 레볼루션 리얼 아이크림 포 페이스 더블,39,61,0,39,18,44,0,0,0,0,0,0,65,33,2,10,23,47,30,3,9,0,33,28,8,10,14,4,15,15,6,30,2,12,0,49,6,2,2,27
86,우르오스,우르오스 스킨밀크,35,60,6,73,27,1,0,0,0,0,0,0,64,36,1,4,3,25,11,0,0,0,5,18,5,3,1,0,6,7,4,13,5,5,0,14,0,0,0,3
87,라운드랩,라운드랩 자작나무 수분 크림,28,57,15,60,40,1,0,0,0,0,0,0,68,30,2,7,14,21,22,2,3,1,15,14,16,6,6,0,9,11,1,21,2,6,0,32,0,0,1,14
88,브이티,VT 리들샷 100 에센스,19,64,17,18,53,29,0,0,0,0,0,0,11,29,60,3,10,15,12,0,2,0,4,12,6,11,1,1,3,12,4,4,9,0,2,19,2,0,0,3
89,라로슈포제,라로슈포제 시카플라스트 멀티 리페어 크림,55,35,10,61,35,4,0,0,0,0,0,0,80,18,2,15,47,61,55,1,5,1,45,59,14,13,4,7,15,24,8,49,7,16,0,78,14,0,3,13
90,메디힐,메디힐 티트리 진정 수분 앰플,17,57,26,15,85,1,0,0,0,0,0,0,77,21,2,9,8,15,16,0,4,2,9,13,5,9,4,1,6,9,0,13,3,5,0,24,1,0,0,6
91,우르오스,우르오스 올인원,27,60,14,66,32,2,0,0,0,0,0,0,60,40,1,19,24,35,20,1,3,0,28,31,6,7,2,1,22,5,0,21,14,18,1,45,2,3,0,2
92,성분에디터,성분에디터 머루포도 비타C 다크 스팟 앰플,33,62,5,31,27,42,0,0,0,0,0,0,73,27,1,3,2,8,6,0,0,2,4,1,4,4,2,1,0,2,0,5,1,0,0,9,1,0,0,5
93,유세린,유세린 하이알루론 컨센트레이트,49,47,4,43,11,46,0,0,0,0,0,0,70,28,2,2,33,35,15,0,0,0,22,37,5,6,0,0,6,13,5,14,7,18,0,46,7,0,3,2
94,닥터지,닥터지 블랙스네일 레티놀 앰플,48,46,6,42,14,44,0,0,0,0,0,0,68,30,2,12,4,22,3,0,1,0,8,12,2,15,0,2,8,14,1,11,2,2,0,24,4,1,0,3
95,닥터자르트,닥터자르트 시카페어 인텐시브 수딩 리페어 크림,27,62,11,28,70,2,0,0,0,0,0,0,72,28,1,9,2,22,3,0,0,0,16,8,5,2,0,3,16,16,0,8,0,3,0,16,3,2,0,1
96,에스트라,에스트라 아토베리어365 크림,52,44,5,76,24,1,0,0,0,0,0,0,80,20,0,33,275,278,188,8,14,10,180,325,37,49,28,8,118,142,68,153,65,83,3,303,30,18,6,40
97,브링그린,브링그린 티트리시카수딩크림플러스,14,55,31,24,76,1,0,0,0,0,0,0,66,31,3,13,9,23,25,7,1,0,32,14,1,3,6,2,10,14,5,15,9,2,0,28,0,0,0,12
98,닥터지,닥터지 레드 블레미쉬 클리어 모이스처 크림 세트,53,40,7,71,29,0,0,0,0,0,0,0,73,27,0,4,25,23,20,0,1,0,13,24,8,2,5,1,10,9,10,18,2,3,1,25,2,1,1,7
99,이니스프리,이니스프리 레티놀 시카 흔적 앰플,19,60,21,15,50,35,0,0,0,0,0,0,48,37,15,7,7,12,6,0,0,1,4,11,3,6,3,0,6,4,2,9,3,2,0,16,2,0,1,2
