,brand,name,elements
10,에스트라,에스트라 리제덤365 모공탄력 캡슐세럼,"['정제수', '부틸렌글라이콜', '나이아신아마이드', '글리세린', '다이메티콘', '1-헥산다이올', '2-헥산다이올', '하이드로제네이티드폴리데센', '스테아릭애씨드', '하이드록시프로필비스팔미타마이드엠이에이', '만니톨', '비닐다이메티콘크로스폴리머', '폴리메틸메타크릴레이트', '카보머', '티몰트라이메톡시신나메이트', '소듐하이알루로네이트', '잔탄검', '글리세릴카프릴레이트', '소듐스테아로일글루타메이트', '소듐폴리아크릴로일다이메틸타우레이트', '아크릴레이트', '암모늄메타크릴레이트코폴리머', '다이소듐이디티에이', '에틸헥실글리세린', '아데노신', '트로메타민', '콜레스테롤', '덱스트린', '카카오추출물', '실리카', '올레아놀릭애씨드', '3-O-에틸아스코빅애씨드', '하이드롤라이즈드익스텐신', '호호바씨오일', '폴리글리세릴-10라우레이트', '토코페롤', '하이드로제네이티드레시틴']"
11,아이소이,아이소이 잡티세럼,"['정제수', '다마스크장미꽃수', '글리세린', '에탄올', '알부틴', '베타인', '트레할로오스', '다마스크장미꽃오일', '비타민나무열매추출물', '아사이팜열매추출물', '로우스위트블루베리추출물', '인디안구스베리열매추출물', '크랜베리추출물', '바위돌꽃뿌리추출물', '고삼뿌리추출물', '블랙윌로우나무껍질추출물', '약모밀추출물', '잔탄검', '알란토인', '판테놀', '붉나무충영추출물', '올리브나무잎추출물', '감국꽃추출물', '회화나무싹추출물', '꿀풀잎추출물', '밤껍질추출물', '흰버드나무껍질추출물', '병풀추출물', '부틸렌글라이콜', '1-헥산다이올', '2-헥산다이올', '포트마리골드꽃추출물', '황금추출물', '모란뿌리추출물', '스페인감초뿌리추출물']"
12,토리든,토리든 다이브인 저분자 히알루론산 세럼,"['정제수', '부틸렌글라이콜', '글리세린', '다이프로필렌글라이콜', '1-헥산다이올', '2-헥산다이올', '판테놀', '소듐하이알루로네이트', '소듐아세틸레이티드하이알루로네이트', '소듐하이알루로네이트크로스폴리머', '하이드롤라이즈드소듐하이알루로네이트', '알란토인', '트레할로스', '베타인', '프로판다이올', '쇠비름추출물', '버지니아풍년화추출물', '마데카소사이드', '마데카식애씨드', '세라마이드엔피', '베타-글루칸', '말라카이트추출물', '콜레스테롤', '펜틸렌글라이콜', '글리세릴아크릴레이트', '아크릴릭애씨드코폴리머', '피브이엠', '엠에이코폴리머', '폴리글리세릴-10라우레이트', '잔탄검', '트로메타민', '카보머', '에틸헥실글리세린', '황금추출물', '모란뿌리추출물']"
13,닥터지,닥터지 레드 블레미쉬 클리어 수딩 크림,"['정제수', '글리세린', '부틸렌글라이콜', '다이카프릴릴에터', '나이아신아마이드', '1-헥산다이올', '2-헥산다이올', '하이드로제네이티드폴리데센', '펜틸렌글라이콜', '다이카프릴릴카보네이트', '비닐다이메티콘', '카프릴릴메티콘', '하이드록시에틸아크릴레이트', '소듐아크릴로일다이메틸타우레이트코폴리머', '판테놀', '아크릴레이트', 'C10-30알킬아크릴레이트크로스폴리머', '다이메티콘올', '폴리메틸실세스퀴옥세인', '트로메타민', '다이포타슘글리시리제이트', '글리세릴아크릴레이트', '아크릴릭애씨드코폴리머', '에틸헥실글리세린', '잔탄검', '병풀잎추출물', '프룩토올리고사카라이드', '소듐파이테이트', '알란토인', '락토바실러스발효물', '락토바실러스', '콩발효추출물', '류코노스톡', '무발효여과물', '효모발효추출물', '토코페롤', '에피갈로카테킨갈레이트', '마데카소사이드', '베타-글루칸', '병풀추출물', '아시아티코사이드', '마데카식애씨드', '아시아틱애씨드']"
14,메디필,메디필 히알루론산 레이어 물톡스 앰플 더블,"['정제수', '프로판다이올', '글리세린', '다이프로필렌글라이콜', '메틸프로판다이올', '1-헥산다이올', '2-헥산다이올', '나이아신아마이드', '다시마추출물', '한련초잎추출물', '병풀뿌리추출물', '에난티아', '클로란타껍질추출물', '지모뿌리추출물', '하이드로제네이티드레시틴', '알란토인', '카보머', '엑토인', '판테놀', '아데노신', '다이소듐이디티에이', '프룩토올리고사카라이드', '자일리톨', '부틸렌글라이콜', '베타-글루칸', '자일리틸글루코사이드', '안하이드로자일리톨', '콜라겐', '류코노스톡', '무발효여과물', '수크로오스팔미테이트', '스쿠알란', '폴리글루타믹애씨드', '글리세릴리놀리에이트', '하이드로제네이티드폴리아이소부텐', '글리세릴글루코사이드', '토코페롤', '올레아놀릭애씨드', '세라마이드엔피', '글라이신', '글루타믹애씨드', '알지닌', '하이드록시프로필사이클로덱스트린', '카프릴릭', '카프릭트라이글리세라이드', '수크로오스다이스테아레이트', '피토스핑고신', '에틸헥실글리세린', '쌀겨오일', '해바라기씨오일', '트로메타민']"
15,바이오힐보,바이오힐보 프로바이오덤 리프팅 크림,"['정제수', '락토바실러스발효물', '다이프로필렌글라이콜', '글리세린', '카프릴릭', '카프릭트라이글리세라이드', '하이드로제네이티드폴리데센', '글리세릴스테아레이트', '1-헥산다이올', '2-헥산다이올', '하이드로제네이티드식물성오일', '메도우폼씨오일', '나이아신아마이드', '폴리글리세릴-3메틸글루코오스다이스테아레이트', '세테아릴알코올', '펜틸렌글라이콜', '호호바에스터', '수크로오스', '시어버터', '바실러스발효물', '한련초추출물', '인도멀구슬나무꽃추출물', '인도멀구슬나무잎추출물', '카카오씨추출물', '울금뿌리추출물', '홀리바질잎추출물', '자일로오스', '참산호말추출물', '드럼스틱씨오일', '리마콩씨추출물', '칸디다봄비콜라', '글루코오스', '메틸레이프씨데이트발효물', '올리브오일', '다이펜타에리스리틸헥사하이드록시스테아레이트', '헥사스테아레이트', '헥사로지네이트', '폴리메틸실세스퀴옥세인', '폴리솔베이트60', '세테아릴올리베이트', '피이지-100스테아레이트', '솔비탄올리베이트', '다이메티콘', '카프릴릴글라이콜', '마이크로코쿠스용해물', '트로메타민', '토코페릴아세테이트', '에틸헥실글리세린', '아데노신', '다이포타슘글리시리제이트', '부틸렌글라이콜', '프룩토오스', '덱스트린', '세라마이드엔피', '하이드로제네이티드레시틴', '토코페롤', '다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트', '팔미토일트라이펩타이드-5', '세틸하이드록시에틸셀룰로오스', '루틴', '헥사펩타이드-2', '아세틸테트라펩타이드-5', '덱스트란', '트라이펩타이드-1', '팔미토일헥사펩타이드-12', '바이오틴', '아세틸헥사펩타이드-8', '팔미토일테트라펩타이드-7', '팔미토일트라이펩타이드-1', '팔미토일펜타펩타이드-4', '헥사펩타이드-9', '카퍼트라이펩타이드-1', '세테아레스-20', '콜레스테롤', '글라이코리피드', '레시틴', '올레익애씨드', '피이지-40하이드로제네이티드캐스터오일', '포타슘하이드록사이드', '베헤닐알코올', '카보머', '잔탄검', '다이소듐이디티에이', '향료']"
16,브이앤에이뷰티,V A 미백광채앰플,"['미네랄워터', '프로판다이올', '아이소펜틸다이올', '부틸렌글라이콜', '메틸프로판다이올', '펜틸렌글라이콜', '1-헥산다이올', '2-헥산다이올', '나이아신아마이드', '치자꽃추출물', '살비아수', '센티드제라늄추출물', '병풀추출물', '무화과추출물', '다시마추출물', '한련초잎추출물', '카카오씨추출물', '데이지꽃추출물', '돌콩추출물', '하이드로제네이티드레시틴', '센티드제라늄꽃오일', '라벤더오일', '연필향나무오일', '아틀라스시다나무껍질오일', '발삼아미리스껍질오일', '광곽향오일', '로즈힙열매오일', '옥틸도데세스-16', '카보머', '트로메타민', '에칠아스코빌에텔', '하이드롤라이즈드하이알루로닉애씨드', '아데노신', '프룩토올리고사카라이드', '다이소듐이디티에이', '판테놀', '베타-글루칸', '3-O-에틸아스코빅애씨드', '세라마이드엔피', '덱스트린', '엑토인', '발삼코파이바수지', '사이아노코발아민', '알지닌', '암모늄아크릴로일다이메틸타우레이트', '브이피코폴리머', '테트라하이드로피페린', '플로레틴', '정제수', '에틸헥실글리세린', '시트로넬올', '리날룰', '제라니올']"
17,웰라쥬,웰라쥬 리얼 히알루로닉 블루 100 앰플,"['정제수', '프로판다이올', '펜틸렌글라이콜', '글리세린', '1-헥산다이올', '2-헥산다이올', '판테놀', '참마뿌리추출물', '인도멀구슬나무잎추출물', '인도멀구슬나무꽃추출물', '아이비고드열매추출물', '카바카바잎', '카바뿌리추출물', '카바줄기추출물', '병풀추출물', '인삼열매추출물', '가지열매추출물', '알로에베라꽃추출물', '홀리바질잎추출물', '울금뿌리추출물', '참산호말추출물', '갈랑가갈랑갈추출물', '소듐하이알루로네이트', '하이드로제네이티드레시틴', '메틸프로판다이올', '소듐아크릴릭애씨드', '엠에이코폴리머', '부틸렌글라이콜', '잔탄검', '소듐시트레이트', '글라이코실트레할로오스', '하이드로제네이티드스타치하이드롤리세이트', '아데노신', '시트릭애씨드', '라피노오스', '레시틴', '폴리쿼터늄-51', '베타-글루칸', '사카라이드아이소머레이트', '사이아노코발아민', '바이오사카라이드검-1', '카프릴릭', '카프릭트라이글리세라이드', '소듐스테아로일글루타메이트', '수크로오스라우레이트', '글라이신', '세린', '알지닌', '히스티딘', '리솔레시틴', '토코페롤', '벤질글라이콜', '에틸헥실글리세린', '카프릴릴글라이콜']"
18,닥터지,닥터지 블랙스네일 크림,"['정제수', '달팽이점액여과물', '다이프로필렌글라이콜', '글리세린', '세테아릴알코올', '사이클로펜타실록세인', '카프릴릭', '카프릭트라이글리세라이드', '트라이에틸헥사노인', '하이드로제네이티드폴리데센', '나이아신아마이드', '1-헥산다이올', '2-헥산다이올', '사이클로헥사실록세인', '글리세릴스테아레이트에스이', '카바카바잎', '카바뿌리추출물', '카바줄기추출물', '참마뿌리추출물', '우엉뿌리추출물', '진흙버섯추출물', '쇠비름추출물', '프로폴리스추출물', '병풀추출물', '하이드로제네이티드레시틴', '아르간커넬오일', '소듐하이알루로네이트', '다이메티콘', 'C12-16알코올', '글리세릴스테아레이트', '세테아릴올리베이트', '솔비탄올리베이트', '마이크로크리스탈린셀룰로오스', '스쿠알란', '세테아릴글루코사이드', '메틸프로판다이올', '하이드록시에틸아크릴레이트', '소듐아크릴로일다이메틸타우레이트코폴리머', '부틸렌글라이콜', '팔미틱애씨드', '하이드로제네이티드폴리아이소부텐', '베타인', '에탄올', '글라이코실트레할로오스', '셀룰로오스검', '아이소노닐아이소노나노에이트', '폴리글리세릴-10스테아레이트', '하이드롤라이즈드옥수수전분', '하이드로제네이티드스타치하이드롤리세이트', '라피노오스', '스테아릭애씨드', '시어버터', '아데노신', '폴리글리세릴-2다이폴리하이드록시스테아레이트', '베타-글루칸', '다이소듐이디티에이', '레시틴', '솔비탄아이소스테아레이트', '수크로오스', '카라멜', '글루코오스', '이눌린라우릴카바메이트', '폴리쿼터늄-51', '프로필렌글라이콜', '다이소듐스테아로일글루타메이트', '바이오사카라이드검-1', '진주가루', '피이지-100스테아레이트', '폴리솔베이트60', '향료', '에틸헥실글리세린', '펜틸렌글라이콜', '카프릴릴글라이콜', '리날룰', '벤질살리실레이트', '리모넨', '하이드록시시트로넬알', '제라니올', '프로판다이올', 'C13-16아이소알케인', '글리세레스-26', '헵틸운데실레네이트', '폴리글리세릴-3다이스테아레이트', '운데케인', '합성사파이어', '트라이데케인', '아크릴레이트', 'C10-30알킬아크릴레이트크로스폴리머', '세틸팔미테이트', '코코-카프릴레이트', '카프레이트', '하이드로제네이티드올리브오일불검화물', '맥아추출물', '솔비탄팔미테이트', '글리세릴스테아레이트시트레이트', '잔탄검', '트로메타민', '아이비고드열매추출물', '한련초추출물', '소듐폴리아크릴레이트', '폴리에터-1', '알란토인', '다이메틸아이소소바이드', '글리세릴올리에이트', '토코페롤', '라우릴글루코사이드', '미리스틸글루코사이드', '폴리글리세릴-6라우레이트', '하이드록시피나콜론레티노에이트', '마카다미아씨오일', '옥틸도데칸올', '하이드롤라이즈드콜라겐', '하이드롤라이즈드하이알루로닉애씨드', '말토덱스트린', '글라이코리피드', '유채스테롤', '포스파티딜콜린', '콜레스테롤', '알루미늄', '마그네슘하이드록사이드스테아레이트', '펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트', '자이모모나스발효추출물', '진주추출물', '하이드록시데실유비퀴논', '시트레이트', '페룰릭애씨드', '꿀추출물', '팔미토일펜타펩타이드-43.', '블랙스네일', '리프팅', '마스크정제수', '하이드록시아세토페논', '세틸에틸헥사노에이트', '소듐폴리아크릴로일다이메틸타우레이트', '폴리글리세릴-10아이소스테아레이트', '폴리글리세릴-10올리에이트', '소듐파이테이트', '글루코노락톤', '백미꽃추출물', '접시꽃추출물', '수용성콜라겐', '알지닌', '팔미토일펜타펩타이드-4']"
19,에스트라,에스트라 에이시카365 흔적진정세럼,"['정제수', '글리세린', '부틸렌글라이콜', '다이프로필렌글라이콜', '베타인', '나이아신아마이드', '1-헥산다이올', '2-헥산다이올', '변성알코올', '스쿠알란', '다이에톡시에틸석시네이트', '폴리글리세릴-10스테아레이트', '수크로오스스테아레이트', '글리세릴폴리메타크릴레이트', '폴리글리세릴-10라우레이트', '피토스테롤', '카프릴릴메티콘', '카보머', '하이드로제네이티드레시틴', '하이드로제네이티드포스파티딜콜린', '트로메타민', '에틸헥실글리세린', '잔탄검', '프로판다이올', '셀룰로오스검', '다이소듐이디티에이', '마데카소사이드', '베타-글루칸', '토코페롤']"
