,brand,name,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,발림성_아주 만족해요,발림성_보통이에요,발림성_다소 아쉬워요,세정력_아주 만족해요,세정력_보통이에요,세정력_다소 아쉬워요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요,지성,건성,복합성,민감성,약건성,트러블성,중성,쿨톤,웜톤,봄웜톤,여름쿨톤,가을웜톤,겨울쿨톤,잡티,미백,주름,각질,트러블,블랙헤드,피지과다,모공,탄력,홍조,아토피,다크서클
57,듀이트리,듀이트리AC 컨트롤 딥 그린 카밍 에센스,21,59,20,24,74,3,0,0,0,0,0,0,81,19,2,8,8,18,17,0,1,0,11,10,11,4,1,2,4,3,0,13,10,4,0,25,0,1,0,2
58,디오디너리,디오디너리 나이아신아마이드 10 ,15,56,29,16,38,46,0,0,0,0,0,0,33,47,20,44,47,82,41,0,12,0,43,70,22,38,8,12,27,43,1,65,15,28,10,104,2,6,1,25
59,파티온,파티온 노스카나인 트러블 흔적 리페어 크림,28,54,18,41,56,3,0,0,0,0,0,0,90,8,2,1,1,5,3,0,2,0,2,2,2,1,0,1,3,0,0,1,1,3,0,5,0,0,0,0
60,이즈앤트리,이즈앤트리 어니언 뉴페어 겔크림,17,61,22,27,62,11,0,0,0,0,0,0,72,28,2,67,68,140,121,0,21,3,89,60,52,55,37,32,41,47,1,80,61,70,6,172,19,6,3,45
61,토리든,토리든 다이브인 저분자 히알루론산 수딩 크림,30,52,18,70,30,0,0,0,0,0,0,0,78,22,0,18,8,29,16,0,0,1,10,22,15,6,2,1,10,16,4,14,7,13,2,24,0,0,0,9
62,비욘드,비욘드 엔젤아쿠아 수분 진정 크림,29,57,14,55,45,1,0,0,0,0,0,0,74,26,1,46,70,127,76,1,15,3,60,98,38,43,23,19,17,46,7,101,31,41,4,144,2,1,5,46
63,에스트라,에스트라 아토베리어365 하이드로 수딩크림,27,54,19,65,35,0,0,0,0,0,0,0,83,17,0,96,165,294,236,4,33,4,164,237,92,65,38,36,65,98,4,231,71,88,15,355,17,10,15,60
64,피지오겔,피지오겔 DMT 데일리보습 로션,51,45,4,82,18,0,0,0,0,0,0,0,83,17,1,38,108,170,107,0,6,0,126,162,10,12,3,4,27,61,10,90,45,58,11,137,7,22,9,11
65,토리든,토리든 솔리드인 세라마이드 크림,54,44,2,73,25,2,0,0,0,0,0,0,78,22,1,0,6,0,6,0,2,0,4,0,0,4,0,2,0,0,0,2,0,4,0,6,0,0,0,2
66,아이오페,아이오페 레티놀 슈퍼 바운스 세럼,28,61,11,25,15,60,0,0,0,0,0,0,64,33,3,14,30,52,41,1,14,0,21,40,19,17,12,15,18,24,3,26,15,22,0,68,3,5,4,23
67,피지오겔,피지오겔 레드수딩 AI 크림,38,54,8,55,43,2,0,0,0,0,0,0,74,26,1,71,193,249,244,0,11,0,205,261,31,38,11,15,52,95,23,155,60,73,6,320,11,19,28,41
68,파티온,파티온 노스카나인 트러블 세럼 단독,21,60,20,21,79,2,0,0,0,0,0,0,83,17,1,101,106,229,259,3,56,5,140,148,84,94,45,44,55,71,4,152,104,77,4,302,3,5,12,60
69,빌리프,빌리프 더 트루 크림 모이스춰라이징 밤,48,45,7,89,11,0,0,0,0,0,0,0,82,18,1,3,12,20,21,0,2,1,9,14,3,15,0,0,5,3,0,9,15,4,0,15,0,1,1,2
70,라운드랩,라운드랩 1025 독도 로션,26,63,11,64,36,1,0,0,0,0,0,0,76,22,2,57,80,175,116,2,19,1,121,109,26,49,20,15,47,38,4,92,42,61,6,180,1,6,6,54
71,마몽드,마몽드 포어 슈링커 바쿠치올 크림,17,71,12,34,23,43,0,0,0,0,0,0,71,29,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
72,메디큐브,메디큐브 제로 모공 원데이 세럼,30,51,19,36,37,27,0,0,0,0,0,0,53,39,8,36,38,67,49,3,8,0,19,86,21,29,9,7,19,30,0,63,28,34,2,115,2,2,0,15
73,셀리맥스,셀리맥스 더 리얼 노니 에너지 앰플,36,56,8,45,55,1,0,0,0,0,0,0,74,26,1,97,169,271,207,4,29,3,176,271,41,77,19,21,79,81,7,185,98,90,6,265,11,17,14,70
74,넘버즈인,넘버즈인 1번 진정 맑게담은 청초토너,14,66,20,10,88,2,0,0,0,0,0,0,68,32,1,82,94,204,188,2,61,4,89,122,107,89,38,57,67,54,7,157,92,66,4,264,10,17,5,99
75,CKD,CKD 레티노콜라겐 저분자 300 괄사 리프팅 세럼,45,53,2,27,13,60,0,0,0,0,0,0,66,32,2,8,12,10,11,0,0,0,9,6,7,4,6,1,4,5,1,13,2,5,0,13,1,2,0,4
